abandonment	abandon
layer	lay
layoff	lay
leader	lead
leakage	leak
learner	learn
lecturer	lecture
legalization	legalize
legislation	legislate
legislator	legislate
lender	lend
lessee	lease
leveler	level
leveller	level
levitation	levitate
liberalization	liberalize
liberation	liberate
liberator	liberate
licensee	license
life	live
lift-off	lift
liftoff	lift
lighter	light
limitation	limit
line-up	line
liner	line
lineup	line
lingerer	linger
linkage	link
liquidation	liquidate
liquidator	liquidate
liquidizer	liquidize
listener	listen
listing	list
litigant	litigate
litigation	litigate
loader	load
loafer	loaf
loathing	loathe
lobbyist	lobby
localization	localize
location	locate
locker	lock
lockup	lock
lodgement	lodge
lodger	lodge
loiterer	loiter
longing	long
looker	look
lookout	look
looter	loot
loser	lose
loss	lose
lounger	lounge
lover	love
lubricant	lubricate
lubrication	lubricate
lurcher	lurch
luxuriance	luxuriate
machination	machinate
magnetization	magnetize
magnification	magnify
magnifier	magnify
mailing	mail
maintainence	maintain
maintenance	maintain
maker	make
malingerer	malinger
maltreatment	maltreat
management	manage
manager	manage
manicurist	manicure
manifestation	manifest
manipulation	manipulate
manipulator	manipulate
manufacturer	manufacture
manumission	manumit
marauder	maraud
marcher	march
markdown	mark
marker	mark
marketer	market
marketization	market
marriage	marry
masher	mash
mastery	master
mastication	masticate
masturbation	masturbate
materialization	materialize
matriculation	matriculate
maturation	mature
maturity	mature
maximization	maximize
measurement	measure
mechanization	mechanize
meddler	meddle
mediation	mediate
mediator	mediate
medication	medicate
meditation	meditate
meeting	meet
melioration	meliorate
meltdown	melt
mender	mend
menstruation	menstruate
merger	merge
mesmerism	mesmerize
mesmerist	mesmerize
migrant	migrate
migration	migrate
miller	mill
mimicry	mimic
mincer	mince
minder	mind
miner	mine
miniaturization	miniaturize
ministry	minister
misapplication	misapply
misapprehension	misapprehend
misappropriation	misappropriate
misbehavior	misbehave
miscalculation	miscalculate
miscarriage	miscarry
misconception	misconceive
misdirection	misdirect
misgovernment	misgovern
misinformation	misinform
misinterpretation	misinterpret
misjudgment	misjudge
mismanagement	mismanage
misquotation	misquote
misrepresentation	misrepresent
misstatement	misstate
mistranslation	mistranslate
misunderstanding	misunderstand
mitigation	mitigate
mixer	mix
mixture	mix
mobilization	mobilize
mocker	mock
mockery	mock
modeler	model
modeller	model
modelling	model
moderation	moderate
moderator	moderate
modernization	modernize
modification	modify
modifier	modify
modulation	modulate
moisturizer	moisturize
molestation	molest
mollification	mollify
monetization	monetize
monopolist	monopolize
monopolization	monopolize
monopoly	monopolize
mop-up	mop
mortgagee	mortgage
mortgagor	mortgage
mortification	mortify
motion2	motion
motion1	move
motivation	motivate
mourner	mourn
mouser	mouse
movement	move
mover	move
mower	mow
muffler	muffle
mugger	mug
multiple	multiply
multiplication	multiply
multiplier	multiply
mummification	mummify
murderer	murder
mutation	mutate
mutilation	mutilate
mutterer	mutter
mystification	mystify
nagger	nag
narration	narrate
narrator	narrate
nationalization	nationalize
naturalization	naturalize
navigation	navigate
navigator	navigate
necessity	need
negation	negate
negligence	neglect
negotiation	negotiate
negotiator	negotiate
neutralization	neutralize
nipper	nip
nomination	nominate
nominee	nominate
normalization	normalize
notification	notify
nourishment	nourish
nullification	nullify
obedience	obey
obeisance	obey
obfuscation	obfuscate
objection	object
objector	object
obligation	oblige
obliteration	obliterate
observance	observe
observation	observe
observer	observe
obsession	obsess
obstruction	obstruct
occupancy	occupy
occupant	occupy
occupation	occupy
occupier	occupy
occurrence	occur
offender	offend
offense	offend
oiler	oil
omission	omit
opener	open
operation	operate
operator	operate
opinion	opine
opponent	oppose
opposition	oppose
oppression	oppress
oppressor	oppress
optimization	optimize
option	opt
oration	orate
orator	orate
oratory	orate
orchestration	orchestrate
organization	organize
organizer	organize
orientation	orientate
origin	originate
origination	originate
originator	originate
ornamentation	ornament
oscillation	oscillate
oscillator	oscillate
ossification	ossify
ostracism	ostracize
ouster	oust
outbreak	break
outcry	cry
outfitter	outfit
outflow	flow
outlawry	outlaw
outlay	lay
output	put
outrider	outride
outset	set
overexertion	overexert
overexposure	overexpose
overextension	overextend
overindulgence	overindulge
overpayment	overpay
overproduction	overproduce
overseer	oversee
oversight	oversee
overstatement	overstate
owner	own
ownership	own
oxidation	oxidize
oxidization	oxidize
pacification	pacify
packer	pack
painter	paint
palliation	palliate
palmer	palm
palpitation	palpitate
parachutist	parachute
parallelism	parallel
paralysis	paralyze
pardoner	pardon
parking	park
parodist	parody
parolee	parole
participant	participate
participation	participate
party	participate
passage	pass
passing	pass
pasteurization	pasteurize
patentee	patent
patron	patronize
pauperization	pauperize
pavement	pave
payee	pay
payer	pay
payment	pay
payout	pay
payroll	pay
pecker	peck
peculation	peculate
peddler	peddle
peeler	peel
peeper	peep
penalization	penalize
penetration	penetrate
perambulation	perambulate
perambulator	perambulate
perceiver	perceive
perception	perceive
percolator	percolate
perfection	perfect
perforation	perforate
performance	perform
performer	perform
perfumer	perfume
peril	imperil
perjurer	perjure
perjury	perjure
permeation	permeate
permission	permit
permutation	permute
perpetration	perpetrate
perpetrator	perpetrate
perpetuation	perpetuate
persecution	persecute
persecutor	persecute
perseverance	persevere
persistence	persist
personation	personate
personification	personify
perspiration	perspire
persuasion	persuade
perturbation	perturb
perusal	peruse
pervasion	pervade
perversion	pervert
petitioner	petition
phase-out	phase
philanderer	philander
photocopier	photocopy
photographer	photograph
picker	pick
pickup	pick
pileup	pile
pilferage	pilfer
pilferer	pilfer
pillager	pillage
piper	pipe
piracy	pirate
pitcher	pitch
placement	place
plagiarism	plagiarize
plagiarist	plagiarize
planner	plan
plantation	plant
planter	plant
plasterer	plaster
player	play
pleasure	please
plodder	plod
plotter	plot
plunderer	plunder
plunger	plunge
poacher	poach
pointer	point
poisoner	poison
poker	poke
polarization	polarize
polisher	polish
pollination	pollinate
pollutant	pollute
pollution	pollute
popularization	popularize
population	populate
portent	portend
porter	port
portrayal	portray
poser	pose
possession	possess
possessor	possess
postponement	postpone
potterer	potter
pounder	pound
practitioner	practice
prattler	prattle
prayer	pray
pre-emption	pre-empt
pre-existence	pre-exist
preacher	preach
prearrangement	prearrange
precaution	caution
precedence	precede
precedent	precede
precession	precede
precipitation	precipitate
preclearance	clear
preclusion	preclude
predecessor	precede
predestination	predestinate
predetermination	predetermine
prediction	predict
predictor	predict
predisposition	predispose
predominance	predominate
prefabrication	prefabricate
preference	prefer
preferment	prefer
prejudgement	prejudge
premeditation	premeditate
preoccupation	preoccupy
preparation	prepare
preparer	prepare
prepayment	prepay
preponderance	preponderate
prepossession	prepossess
prescription	prescribe
presentation	present
presenter	present
preservation	preserve
preserver	preserve
presumption	presume
presupposition	presuppose
pretender	pretend
pretense	pretend
pretension	pretend
prevalance	prevail
prevarication	prevaricate
prevention	prevent
pricker	prick
primer	prime
printer	print
privatization	privatize
probation	probate
proceeding	proceed
processor	process
proclamation	proclaim
procrastination	procrastinate
procreation	procreate
procurement	procure
procurer	procure
producer	produce
product	produce
production	produce
profanation	profane
profession	profess
professor	profess
prognostication	prognosticate
programmer	program
progression	progress
prohibition	prohibit
projection	project
projector	project
proliferation	proliferate
prolongation	prolong
promoter	promote
promotion	promote
prompter	prompt
promulgation	promulgate
pronouncement	pronounce
pronunciation	pronounce
proof	prove
proofreader	proofread
propagandist	propagandize
propagation	propagate
propagator	propagate
propellant	propel
propellent	propel
propeller	propel
propitiation	propitiate
proposal	propose
proposer	propose
proposition	propose
prorogation	prorogue
proscription	proscribe
prosecution	prosecute
prosecutor	prosecute
prospector	prospect
prosperity	prosper
prostitution	prostitute
prostration	prostrate
protection	protect
protectionism	protect
protector	protect
protestation	protest
protester	protest
protraction	protract
protractor	protract
protrusion	protrude
provider	provide
provision	provide
provocation	provoke
prowler	prowl
psychoanalyst	psychoanalyze
publication	publish
publicist	publicize
publisher	publish
puddler	puddle
pull-out	pull
pullback	pull
pullout	pull
pulsation	pulsate
pumping	pump
punctuation	punctuate
punishment	punish
punter	punt
purchaser	purchase
purgation	purge
purification	purify
purifier	purify
pursuance	pursue
pursuer	pursue
pursuit	pursue
purveyance	purvey
purveyor	purvey
pusher	push
putterer	putter
puzzlement	puzzle
puzzler	puzzle
qualification	qualify
qualifier	qualify
quantification	quantify
questioner	question
quibbler	quibble
quitter	quit
quotation	quote
racer	race
radiance	radiate
radiation	radiate
radiator	radiate
radiopasteurization	radiopasteurize
rafter	raft
raider	raid
raillery	rail
raiser	raise
rambler	ramble
ramification	ramify
rancher	ranch
ranker	rank
ranter	rant
rapist	rape
ratification	ratify
rationalization	rationalize
rattler	rattle
raver	rave
ravishment	ravish
razor	raze
re-election	re-elect
re-enactment	re-enact
re-entry	re-enter
re-formation	re-form
reaction	react
reactor	react
reader	read
readjustment	readjust
readmission	readmit
realignment	realign
realization	realize
reaper	reap
reappearance	reappear
reappraisal	reappraise
rearmament	rearm
rearrangement	rearrange
reasoning	reason
reassessment	reassess
reassignment	reassign
reassurance	reassure
reauthorization	reauthorize
rebellion	rebel
rebuttal	rebut
recalculation	recalculate
recantation	recant
recapitalization	recapitalize
recapitulation	recapitulate
receipt	receive
receiver	receive
reception	receive
receptor	receive
recession	recess
recipient	receive
reciprocation	reciprocate
recital	recite
recitation	recite
reckoner	reckon
reckoning	reckon
recognition	recognize
recognizance	recognize
recollection	recollect
recombination	recombine
recommendation	recommend
reconciliation	reconcile
reconnaissance	reconnoiter
reconsideration	reconsider
reconstruction	reconstruct
recorder	record
recording	record
recovery	recover
recreation	recreate
recrimination	recriminate
recruiter	recruit
recruitment	recruit
rectification	rectify
rectifier	rectify
recuperation	recuperate
recurrence	recur
redaction	redact
redeemer	redeem
redefinition	redefine
redemption	redeem
redeployment	redeploy
redevelopment	redevelop
rediscovery	rediscover
redistribution	redistribute
redistributionism	redistribute
reduction	reduce
reduplication	reduplicate
reefer	reef
reevaluation	reevaluate
referee2	refer
referee1	referee
reference	refer
referral	refer
refinement	refine
refiner	refine
refinery	refine
reflation	reflate
reflection	reflect
reflector	reflect
reforestation	reforest
reformation	reform
reformer	reform
reformist	reform
reformulation	reformulate
refraction	refract
refresher	refresh
refreshment	refresh
refrigeration	refrigerate
refrigerator	refrigerate
refurbishment	refurbish
refusal	refuse
refutation	refute
regeneration	regenerate
regimentation	regiment
registration	register
registry	register
regression	regress
regularization	regularize
regulation	regulate
regulator	regulate
rehabilitation	rehabilitate
rehearsal	rehearse
reimbursement	reimburse
reincarnation	reincarnate
reinforcement	reinforce
reinstatement	reinstate
reinsurance	reinsure
reinsurer	reinsure
reinterpretation	reinterpret
reinvestment	reinvest
reiteration	reiterate
rejection	reject
rejuvenation	rejuvenate
relation	relate
relationship	relate
relaxation	relax
relegation	relegate
reliance	rely
relief	relieve
relinquishment	relinquish
relocation	relocate
remainder	remain
remarriage	remarry
remembrance	remember
remilitarization	remilitarize
reminder	remind
reminiscence	reminisce
remission	remit
remittance	remit
remonstrance	remonstrate
removal	remove
remover	remove
remuneration	remunerate
rendering	render
renegotiation	renegotiate
renewal	renew
renovation	renovate
renovator	renovate
rental	rent
renter	rent
renunciation	renounce
reorganization	reorganize
reorientation	reorientate
rep	repute
repairer	repair
reparation	repair
repatriation	repatriate
repayment	repay
repeater	repeat
repellent	repel
repentance	repent
repetition	repeat
replacement	replace
replenishment	replenish
reportage	report
reporter	report
representation	represent
representative	represent
repression	repress
reprobation	reprobate
reproducer	reproduce
reproduction	reproduce
reproval	reprove
repudiation	repudiate
repulsion	repel
reputation	repute
requirement	require
requital	requite
rescission	rescind
rescuer	rescue
researcher	research
resemblance	resemble
resentment	resent
reservation	reserve
resettlement	resettle
residence	reside
resident	reside
resignation	resign
resistance	resist
resister	resist
resistor	resist
resolution	resolve
resonance	resonate
resonator	resonate
respectability	respect
respecter	respect
respiration	respire
respondent	respond
response	respond
restarter	restart
restatement	restate
restitution	restitute
restoration	restore
restorer	restore
restraint	restrain
restriction	restrict
resumption	resume
resurrection	resurrect
resuscitation	resuscitate
retailer	retail
retainer	retain
retaliation	retaliate
retardant	retard
retardation	retard
retention	retain
reticulation	reticulate
retiree	retire
retirement	retire
retraction	retract
retreader	retread
retrenchment	retrench
retrieval	retrieve
retriever	retrieve
retrogression	retrogress
reunification	reunify
reunion	reunite
revaluation	revaluate
revelation	reveal
reveler	revel
reveller	revel
revelry	revel
reverberation	reverberate
reverence	revere
reversal	reverse
reversion	reverse
reviewer	review
reviser	revise
revision	revise
revitalization	revitalize
revival	revive
revolution	revolt
riddance	rid
rider	ride
ridership	ride
rigger	rig
ringer	ring
rioter	riot
riser	rise
rivalry	rival
riveter	rivet
roaster	roast
robber	rob
robbery	rob
rocker	rock
roll-out	roll
roller	roll
rollover	roll
romper	romp
roomer	room
rooter	root
rotation	rotate
rotter	rot
rover	rove
rower	row
rubber	rub
ruination	ruin
ruler	rule
ruling	rule
ruminant	ruminate
rumination	ruminate
run-up	run
runaway	run
runner	run
rustler	rustle
sacking	sack
saddler	saddle
sailing	sail
sailor	sail
sale	sell
salesman	sell
salutation	salute
salvation	save
salver	salve
sampler	sample
sanctification	sanctify
sapper	sap
satirist	satirize
satisfaction	satisfy
saturation	saturate
saunterer	saunter
savagery	savage
saver	save
savior	save
saying	say
scanner	scan
scavenger	scavenge
schemer	scheme
scintillation	scintillate
scoffer	scoff
scorcher	scorch
scorer	score
scourer	scour
scrambler	scramble
scraper	scrape
scribbler	scribble
scrounger	scrounge
scrutiny	scrutinize
sculler	scull
sculptor	sculpt
sculpture	sculpt
sealer	seal
searcher	search
seater	seat
secession	secede
seclusion	seclude
seconder	second
secretion	secrete
security	secure
sedation	sedate
seducer	seduce
seduction	seduce
seeker	seek
seer	see
segmentation	segment
segregation	segregate
seige	besiege
seizure	seize
selection	select
selector	select
sell-off	sell
seller	sell
sender	send
sensation	sense
sensitization	sensitize
sensor	sense
sentimentalist	sentimentalize
separation	separate
separator	separate
sequestration	sequestrate
servant	serve
server	serve
service	serve
setback	set
setter	set
settlement	settle
settler	settle
setup	set
severance	sever
shake-up	shake
shakeout	shake
shaker	shake
sharpener	sharpen
shaver	shave
shipment	ship
shipper	ship
shirker	shirk
shocker	shock
shooter	shoot
shoplifter	shoplift
shopper	shop
shopping	shop
shouting	shout
shrinkage	shrink
shuffler	shuffle
shunter	shunt
shutdown	shut
shutter	shut
sifter	sift
sighting	sight
signaller	signal
signature	sign
significance	signify
signification	signify
signor	sign
silencer	silence
simplification	simplify
simulation	simulate
simulator	simulate
singer	sing
sinker	sink
sinking	sink
sinner	sin
sitter	sit
situation	situate
skater	skate
sketcher	sketch
skewer	skew
skier	ski
skimmer	skim
skirmisher	skirmish
skulker	skulk
slacker	slack
slanderer	slander
slaughterer	slaughter
slaver	enslave
slavery	enslave
slayer	slay
sleeper	sleep
slinger	sling
slippage	slip
slogger	slog
slowdown	slow
slumberer	slumber
smasher	smash
smelter	smelt
smoker	smoke
smuggler	smuggle
snatcher	snatch
sniper	snipe
sniveler	snivel
sniveller	snivel
snooper	snoop
snorer	snore
snorter	snort
soaker	soak
socialization	socialize
softener	soften
sojourner	sojourn
soldiery	soldier
solemnization	solemnize
solicitation	solicit
solicitor	solicit
solidification	solidify
soloist	solo
solution	solve
solvent	dissolve
sorter	sort
sounding	sound
sower	sow
spanking	spank
spanner	span
sparkler	sparkle
speaker	speak
specialism	specialize
specialist	specialize
specialization	specialize
specialty	specialize
specification	specify
speculation	speculate
speculator	speculate
speech	speak
speedup	speed
speller	spell
spender	spend
spillage	spill
spin-drier	spin-dry
spin-off	spin
spinner	spin
spinoff	spin
spinout	spin
spiritualization	spiritualize
splicer	splice
sponsorship	sponsor
spotter	spot
sprayer	spray
spreader	spread
sprinkler	sprinkle
sprinter	sprint
squatter	squat
squawker	squawk
squeaker	squeak
squealer	squeal
squeezer	squeeze
stabber	stab
stabilization	stabilize
stabilizer	stabilize
staffer	staff
stager	stage
staggerer	stagger
stagnation	stagnate
stalker	stalk
stammerer	stammer
standardization	standardize
stapler	staple
start-up	start
starter	start
starvation	starve
statement	state
stayer	stay
steamer	steam
steerage	steer
sterilization	sterilize
sticker	stick
stiffener	stiffen
stimulant	stimulate
stimulation	stimulate
stimulator	stimulate
stinger	sting
stinker	stink
stipulation	stipulate
stockist	stock
stoker	stoke
stonewaller	stonewall
stoppage	stop
stopper	stop
storage	store
storing	store
straggler	straggle
strainer	strain
stratification	stratify
stressor	stress
stretcher	stretch
stridulation	stridulate
striker	strike
stripper	strip
striver	strive
stroller	stroll
student	study
stultification	stultify
stumper	stump
stunner	stun
stutterer	stutter
stylist	stylize
stylization	stylize
subcontractor	subcontract
subdivision	subdivide
subeditor	subedit
subjection	subject
subjugation	subjugate
sublimation	sublimate
submergence	submerge
submission	submit
subordination	subordinate
subornation	suborn
subscriber	subscribe
subscription	subscribe
subsidence	subside
subsidization	subsidize
subsidy	subsidize
subsistence	subsist
substantiation	substantiate
substitution	substitute
subtraction	subtract
subversion	subvert
success	succeed
succession	succeed
successor	succeed
sucker	suck
sufferance	suffer
sufferer	suffer
suffocation	suffocate
suffusion	suffuse
suggestion	suggest
suit	sue
suitor	suit
summary	summarize
summation	sum
superannuation	superannuate
superintendence	superintend
superintendent	superintend
supersession	supersede
supervision	supervise
supervisor	supervise
supper	sup
supplanter	supplant
suppliant	supplicate
supplicant	supplicate
supplication	supplicate
supplier	supply
supporter	support
supposition	suppose
suppressant	suppress
suppression	suppress
suppressor	suppress
suppuration	suppurate
surveillance	survey
surveyor	survey
survival	survive
survivor	survive
suspender	suspend
suspense	suspend
suspension	suspend
suspicion	suspect
sustenance	sustain
swaggerer	swagger
swearer	swear
swearing	swear
swearing-in	swear
sweeper	sweep
sweetener	sweeten
swimmer	swim
swindler	swindle
switcher	switch
syllabication	syllabicate
syllabification	syllabify
symbol	symbolize
symbolism	symbolize
symbolization	symbolize
sympathizer	sympathize
sympathy	sympathize
sync	synchronize
synchronization	synchronize
syncopation	syncopate
syndication	syndicate
syndicator	syndicate
synthesis	synthesize
synthesizer	synthesize
systematization	systematize
table	reverse
tabulation	tabulate
tabulator	tabulate
take-off	take
take-out	take
takeoff	take
takeout	take
takeover	take
taker	take
talker	talk
tamer	tame
tanner	tan
taper	tape
taster	taste
tattler	tattle
taxation	tax
teacher	teach
teaser	tease
telegrapher	telegraph
telegraphist	telegraph
temperance	temper
temptation	tempt
tempter	tempt
tendency	tend
tender	tend
tension	tense
termination	terminate
terrorism	terrorize
terrorist	terrorize
testament	testify
testimonial	testify
testimony	testify
thatcher	thatch
theft	thieve
theorist	theorize
thief	thieve
thievery	thieve
thinker	think
thinking	think
thought	think
threat	threaten
thriller	thrill
thrower	throw
thruster	thrust
ticker	tick
tickler	tickle
tie-up	tie
tightener	tighten
tiller	till
tilth	till
timer	time
tip-off	tip
tipper	tip
tippler	tipple
tipster	tip
titillation	titillate
toaster	toast
toiler	toil
tolerance	tolerate
toleration	tolerate
toner	tone
topper	top
tormentor	torment
torturer	torture
tosser	toss
tourism	tour
tourist	tour
tracer	trace
tracker	track
trade-in	trade
trader	trade
traducer	traduce
trafficker	traffic
trailer	trail
trainee	train
trainer	train
tranquillizer	tranquillize
transaction	transact
transcendence	transcend
transcript	transcribe
transcription	transcribe
transferee	transfer
transference	transfer
transfiguration	transfigure
transformation	transform
transformer	transform
transfusion	transfuse
transgression	transgress
transgressor	transgress
translation	translate
translator	translate
transliteration	transliterate
transmission	transmit
transmitter	transmit
transmogrification	transmogrify
transmutation	transmute
transpiration	transpire
transplantation	transplant
transportation	transport
transporter	transport
transposition	transpose
trapper	trap
trauma	traumatize
traveler	travel
traveller	travel
treatment	treat
trencher	trench
trespasser	trespass
trial	try
trickery	trick
trier	try
trifler	trifle
trimmer	trim
tripper	trip
trotter	trot
trumpeter	trumpet
trustee	entrust
tryout	try
tucker	tuck
tumbler	tumble
tuner	tune
turn-on	turn
turnaround	turn
turner	turn
twister	twist
typist	type
ulceration	ulcerate
ululation	ululate
underestimation	underestimate
underexposure	underexpose
underpayment	underpay
understatement	understate
undertaker	undertake
undervaluation	undervalue
underwriter	underwrite
undulation	undulate
unification	unify
unifier	unify
unity	unite
unsettlement	unsettle
upholsterer	upholster
uprising	rise
urbanization	urbanize
urging	urge
usage	use
user	use
usurpation	usurp
usurper	usurp
utilization	utilize
utterance	utter
vacationer	vacation
vacationist	vacation
vaccination	vaccinate
vacillation	vacillate
valuation	value
valuer	value
valve	control
vaporization	vaporize
variance	vary
variant	vary
variation	vary
variety	vary
vaulter	vault
vaunter	vaunt
vegetation	vegetate
vendee	vend
vender	vend
vendor	vend
veneration	venerate
vengeance	revenge
ventilation	ventilate
ventilator	ventilate
verification	verify
vestment	vest
vexation	vex
vibration	vibrate
vibrator	vibrate
victimization	victimize
viewer	view
vilification	vilify
vindication	vindicate
violation	violate
violator	violate
visitant	visit
visitation	visit
visitor	visit
visualization	visualize
vituperation	vituperate
vivisection	vivisect
vociferation	vociferate
volunteerism	volunteer
voter	vote
voucher	vouch
voyager	voyage
vulcanization	vulcanize
vulgarization	vulgarize
wader	wade
waiter	wait
waiver	waive
walker	walk
walkout	walk
wanderer	wander
warbler	warble
warder	ward
warfare	war
warm-up	warm
warmer	warm
warning	warn
warrantee	warrant
warrantor	warrant
warranty	warrant
washer	wash
wastage	waste
waster	waste
watcher	watch
waverer	waver
wearer	wear
weaver	weave
wedding	wed
welder	weld
well-wisher	wish
welsher	welsh
westernization	westernize
whacker	whack
whaler	whale
whiner	whine
whipping	whip
whisker	whisk
whisperer	whisper
winner	win
wiper	wipe
withdrawal	withdraw
wobbler	wobble
womanizer	womanize
wonderment	wonder
wooer	woo
worker	work
workout	work
worshipper	worship
wrapper	wrap
wreckage	wreck
wrecker	wreck
wrestler	wrestle
wriggler	wriggle
wringer	wring
write-down	write
write-off	write
writedown	write
writer	write
wrongdoing	do
yearning	yearn
yodeler	yodel
yodeller	yodel
